home_team,away_team,fair_spread_home,p_home_win,fair_total,market_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Louisville,Clemson,-1.7857406934102371,0.6275529066721598,55.34336,1.5,-3.2857406934102373,0.01,-125.0,0.5555555555555556,0.07199735111660421,0.01,50.5,4.843360900878906,0.01
Oregon,Minnesota,-4.650097807248433,0.8321498433748881,59.314083,26.5,-31.150097807248432,0.0,-3600.0,0.972972972972973,-0.14082312959808496,0.0,46.0,13.314083099365234,0.0
Texas A&M,South Carolina,-4.639648636182149,0.8314034740130106,46.51216,16.5,-21.139648636182148,0.0,-900.0,0.9,-0.0685965259869894,0.0,49.5,-2.9878387451171875,0.01
Northwestern,Michigan,4.536867926518123,0.17593800524870554,55.114136,-10.0,14.536867926518124,0.0,360.0,0.21739130434782608,-0.041453299099120544,0.0,42.0,13.1141357421875,0.0
Indiana,Wisconsin,-6.30733060836792,0.9505236148834229,63.619476,28.0,-34.30733060836792,0.0,-7250.0,0.9863945578231292,-0.035870942939706385,0.0,43.5,20.119476318359375,0.0
Oklahoma State,Kansas State,5.932943458358446,0.0762183244029681,67.03327,-19.5,25.432943458358444,0.0,800.0,0.1111111111111111,-0.03489278670814301,0.0,50.5,16.53327178955078,0.0
Cincinnati,Arizona,-0.9445416728655502,0.5674672623475393,51.962982,6.0,-6.94454167286555,0.01,-210.0,0.6774193548387096,-0.10995209249117033,0.0,56.5,-4.537017822265625,0.01
LSU,Arkansas,-0.5585684974988296,0.539897749821345,59.19654,4.0,-4.55856849749883,0.01,-185.0,0.6491228070175439,-0.1092250571961989,0.0,58.5,0.6965408325195312,0.0034827041625976564
Arizona State,West Virginia,-4.168938875198364,0.7977813482284546,55.372913,10.0,-14.168938875198364,0.0,-380.0,0.7916666666666666,0.00611468156178796,0.01,46.5,8.872913360595703,0.01
Miami,NC State,-4.24894376595815,0.803495983282725,53.024914,16.5,-20.74894376595815,0.0,-700.0,0.875,-0.07150401671727502,0.0,54.5,-1.4750862121582031,0.0073754310607910155
Alabama,Oklahoma,1.8695593674977622,0.36646004517873126,65.69509,6.5,-4.630440632502237,0.01,-250.0,0.7142857142857143,-0.34782566910698304,0.0,45.5,20.195091247558594,0.0
USC,Iowa,-2.8763500452041626,0.7054535746574402,65.68117,6.5,-9.376350045204163,0.0,-230.0,0.696969696969697,0.008483877687743169,0.01,48.5,17.181167602539062,0.0
Boston College,Georgia Tech,3.4523172775904336,0.25340590874354046,84.74811,-16.5,19.952317277590435,0.0,570.0,0.14925373134328357,0.1041521774002569,0.01,61.5,23.24810791015625,0.0
Michigan State,Penn State,3.193264424800873,0.2719096839427948,55.08463,-7.0,10.193264424800873,0.0,210.0,0.3225806451612903,-0.050670961218495514,0.0,49.0,6.084629058837891,0.01
Texas Tech,UCF,-6.068375984827678,0.9334554274876913,47.111633,24.5,-30.56837598482768,0.0,-2800.0,0.9655172413793104,-0.032061813891619106,0.0,48.5,-1.38836669921875,0.00694183349609375
Illinois,Maryland,-4.993918259938558,0.8567084471384684,56.67932,16.5,-21.493918259938557,0.0,-750.0,0.8823529411764706,-0.025644494038002175,0.0,51.5,5.1793212890625,0.01
Duke,Virginia,0.3777354756991066,0.47301889459292096,55.238132,5.5,-5.122264524300894,0.01,-218.0,0.6855345911949685,-0.21251569660204755,0.0,60.0,-4.761867523193359,0.01
Wake Forest,North Carolina,-4.1198389530181885,0.7942742109298706,50.237694,3.5,-7.6198389530181885,0.0,-170.0,0.6296296296296297,0.16464458130024096,0.01,37.5,12.737693786621094,0.0
Baylor,Utah,3.0592574775218964,0.281481608748436,56.57014,-9.5,12.559257477521896,0.0,282.5,0.26143790849673204,0.020043700251703933,0.01,60.5,-3.929859161376953,0.01
Ole Miss,Florida,-4.639648636182149,0.8314034740130106,55.280914,10.5,-15.139648636182148,0.0,-460.0,0.8214285714285714,0.009974902584439227,0.01,53.5,1.780914306640625,0.008904571533203126
Washington,Purdue,-5.5929542779922485,0.8994967341423035,59.947544,14.5,-20.09295427799225,0.0,-900.0,0.9,-0.0005032658576965554,0.0,51.5,8.44754409790039,0.01
Georgia,Texas,0.3630043864250183,0.47407111525535583,51.14339,3.5,-3.1369956135749817,0.01,-190.0,0.6551724137931034,-0.1811012985377476,0.0,50.5,0.6433906555175781,0.003216953277587891
Florida State,Virginia Tech,-5.676937619845073,0.9054955442746481,64.981,14.0,-19.676937619845074,0.0,-575.0,0.8518518518518519,0.05364369242279621,0.01,55.0,9.981002807617188,0.01
Ohio State,UCLA,-6.257188161214192,0.9469420115152994,51.212925,33.0,-39.257188161214195,0.0,-13250.0,0.9925093632958801,-0.04556735178058069,0.0,46.5,4.712924957275391,0.01
Missouri,Mississippi State,-4.274926503499349,0.8053518931070963,57.155632,7.0,-11.274926503499348,0.0,-250.0,0.7142857142857143,0.09106617882138202,0.01,50.5,6.655632019042969,0.01
BYU,TCU,-2.835684061050415,0.7025488615036011,55.354977,3.0,-5.835684061050415,0.01,-155.0,0.6078431372549019,0.09470572424869916,0.01,51.5,3.8549766540527344,0.01
